product_name,product_link,product_price,product_rating,no_rating,page_no
THE CLOWNFISH Opulence Series Multipurpose Handbag For Women Box Bag 15.6 inch Laptop Bag Tote Printed Handicraft Fabric & Faux Leather Office Bag Hand Messenger Bag,https://www.amazon.in/CLOWNFISH-Multipurpose-Handicraft-Messenger-Black-Wave/dp/B0C24SVMVW/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-237,"1,299.00",2,1 rating,15
"ZOUK Laptop Bag for Women - Handmade Bag for 15.6 inch Laptop, MacBook - Vegan Leather Office Bags with Detachable Shoulder Strap - Perfect Handbag for Ladies - Lattice Lace",https://www.amazon.in/ZOUK-Laptop-Bag-Women-Detachable/dp/B08JH43M1G/ref=sr_1_239?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-239,"1,899.00",4.2,80 ratings,15
DOUBLE R BAGS Thermal Bags for Cold and hot Food Bag Frozen take Away Beer Bottle Carry delivery Insulated Reusable Jute Shopping Groceries or Sturdy Zipper Foldable Washable Heavy Duty (Black),https://www.amazon.in/DOUBLE-BAGS-delivery-Insulated-Groceries/dp/B08RB54DJN/ref=sr_1_242?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-242,887,3.9,106 ratings,15
30 L Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue),https://www.amazon.in/Waterproof-Laptop-College-Backpack-Navy_Blue/dp/B0BW9GWPYH/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-243,499,5,1 rating,15
"DERBEN CLOVE® 15.6 Men and Women Laptop, MacBook Shoulder Messenger Sling Office Bag - Grey",https://www.amazon.in/Derben-Fabric-Leather-Laptop-Messenger/dp/B08TVL3MWJ/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-243,899,4.1,144 ratings,16
"Space full School And Laptop Bag,For Man & Women College/Office/Traveling In Red & Grey Color Pack Of 1",https://www.amazon.in/School-Laptop-College-Office-Traveling/dp/B0BL7HMWVZ/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-244,399,4.5,2 ratings,16
COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch),https://www.amazon.in/COSMUS-Polyester-Navy-Laptop-Backpack/dp/B01FVQLLU0/ref=sr_1_247?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-247,"1,333.00",4.3,"9,976 ratings",16
Fast Travel School Bag Class 5-10 Large 4 Partition 45 L Laptop Collage Office Travel Backpack Unisex (Orange Blue),https://www.amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B09Q3LNSZK/ref=sr_1_248?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-248,743,4.1,"1,064 ratings",16
Aristocrat Draw-Pack 15L Unisex Grey Laptop Bags,https://www.amazon.in/Aristocrat-Draw-Pack-Unisex-Grey-Laptop/dp/B0B5YGP1BV/ref=sr_1_250?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-250,499,4.3,12 ratings,16
"ANNACREATIONS Stylish Mermaid Duffle Sports Dance Gymnastics Sports Gym Bag, Kids Travel Bag for Girls (Style 3)",https://www.amazon.in/ANNACREATIONS-Stylish-Mermaid-Duffle-Gymnastics/dp/B0BMGK1L2X/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-253,375,4.5,20 ratings,16
